ประทับเวลา,เพศ,นักศึกษาชั้นปี,ท่านมีเครื่องคอมพิวเตอร์ที่บ้านหรือไม่ ,ท่านจัดวางเครื่องคอมพิวเตอร์ไว้ที่ใด ภายในบ้าน,ท่านใช้คอมพิวเตอร์ กี่ครั้งต่อสัปดาห์,ท่านใช้คอมพิวเตอร์ในแต่ละครั้ง นานเท่าไร,ท่านใช้คอมพิวเตอร์มากที่สุด ในช่วงเวลาใด,ท่านสนใจเล่นเกมออนไลน์กี่ครั้งต่อสัปดาห์,ท่านสนใจเล่นเกมออนไลน์นานเท่าไรต่อครั้ง,ท่านสนใจเล่นเกมออนไลน์ ประเภทใดที่ท่านเล่นเป็นประจำ ( เลือกได้มากกว่า 1 ข้อ ),เนื้อหาของเกมออนไลน์ที่ท่านสนใจ มีประโยชน์ต่อท่านอย่างไร ( เลือกได้มากกว่า 1 ข้อ ),ความสัมพันธ์ระหว่างเพื่อนในกลุ่มวัยรุ่น,การอบรมของผู้ปกครองต่อการเล่นเกมออนไลน์เป็นเวลานาน,เล่นเกมออนไลน์มีผลต่อเพื่อนของท่านอย่างไร,ใครเป็นผู้ชักชวนให้ท่านรู้จักเกมออนไลน์เป็นครั้งแรก,บุคคลที่มักพูดคุยด้วยเกี่ยวกับการเล่นเกมออนไลน์,ปัจจัยที่มีผลต่อการติดเกมออนไลน์ [ได้รับข่าวสารเกี่ยวกับเกมออนไลน์ ผ่านทางโฆษณาทางอินเทอร์เน็ต],ปัจจัยที่มีผลต่อการติดเกมออนไลน์ [การเล่นเกมออนไลน์ เพื่อต้องการหาเพื่อนใหม่],ปัจจัยที่มีผลต่อการติดเกมออนไลน์ [ชอบการสนทนากับผู้เล่นคนอื่นที่เข้ามาเล่นเกมออนไลน์ ขณะที่ท่านกำลังเล่น],ปัจจัยที่มีผลต่อการติดเกมออนไลน์ [ความสนใจต่อเกมออนไลน์ที่มีกราฟิก สวยงาม เเละสมจริง],ปัจจัยที่มีผลต่อการติดเกมออนไลน์ [ ความสนใจต่อเกมออนไลน์ที่มีการเลื่อนระดับยาก],ปัจจัยที่มีผลต่อการติดเกมออนไลน์ [บ่อยครั้ง ที่ผู้ปกครองมักไม่มีเวลาให้],ปัจจัยที่มีผลต่อการติดเกมออนไลน์ [จะเล่นเกมต่อ หากได้เลื่อนระดับความสามารถในการเล่นเกมออนไลน์]
"17/7/2023, 21:21:56",หญิง,1,มี,ห้องนั่งเล่น,1-2 ครั้ง,ไม่เกิน 2 ชั่วโมง,18.01-00.00 น.,ไม่เกิน 2 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมจำลองสถานการณ์, เกมผจญภัย, เกมเเต่งตัว","เพิ่มทักษะและความสามารถในการพิมพ์ดีด, ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว",พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,เพื่อน,เพื่อนในห้องเรียน,4,3,3,4,3,3,3
"17/7/2023, 21:22:40",ชาย,1,มี,ห้องนอน,ใช้ทุกวัน,4-5 ชั่วโมง,18.01-00.00 น.,เล่นทุกวัน,4-5  ชั่วโมง,เกมสวมบทบาท,ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป,พูดคุยได้ทุกเรื่อง,ตักเตือน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนที่รู้จักในเกมออนไลน์,4,4,4,4,4,4,4
"17/7/2023, 21:23:51",ชาย,1,มี,ห้องนอน,ใช้ทุกวัน,2-3 ชั่วโมง,18.01-00.00 น.,เล่นทุกวัน,4-5  ชั่วโมง,"เกมวางแผนกลยุทธ์, เกมจำลองสถานการณ์, เกมผจญภัย, MMORPG","เพิ่มทักษะและความสามารถในการพิมพ์ดีด, ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกทักษะ ทางด้านการค้า, ฝึกการเข้าสังคม, ฝึกการขอโทษ และให้อภัยผู้อื่น, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว, ฝึกทักษะทางด้านภาษา",พูดคุยได้บางเรื่อง,ตักเตือน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนในห้องเรียน,3,3,3,3,3,3,3
"17/7/2023, 21:24:29",ชาย,1,มี,ห้องนอน,1-2 ครั้ง,ไม่เกิน 2 ชั่วโมง,18.01-00.00 น.,ไม่เกิน 2 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมกีฬา, เกมฝึกสมอง","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่",พูดคุยได้ทุกเรื่อง,ตักเตือน,ไม่มีผลใดเกิดขึ้น,เพื่อน,เพื่อนในห้องเรียน,3,3,3,3,3,3,3
"17/7/2023, 21:25:37",ชาย,1,มี,ห้องนอน,ใช้ทุกวัน,6 ชั่วโมงขึ้นไป,18.01-00.00 น.,เล่นทุกวัน,5 ชั่วโมงขึ้นไป,เกมสวมบทบาท,"ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกการเข้าสังคม, ฝึกทักษะทางด้านภาษา",พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนที่รู้จักในเกมออนไลน์,4,4,4,4,4,4,4
"17/7/2023, 21:25:58",ชาย,1,มี,ห้องนอน,ใช้ทุกวัน,4-5 ชั่วโมง,18.01-00.00 น.,เล่นทุกวัน,4-5  ชั่วโมง,เกมวางแผนกลยุทธ์,"เพิ่มทักษะและความสามารถในการพิมพ์ดีด, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่",พูดคุยได้ทุกเรื่อง,ตักเตือน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,ตัวท่านเอง,เพื่อนในห้องเรียน,4,4,4,4,4,4,4
"17/7/2023, 21:26:58",ชาย,1,มี,ห้องนอน,ใช้ทุกวัน,4-5 ชั่วโมง,12.01-18.00 น.,เล่นทุกวัน,2-3 ชั่วโมง,"เกมสวมบทบาท, เกมวางแผนกลยุทธ์, เกมจำลองสถานการณ์, เกมผจญภัย, เกมฝึกสมอง, เกมบังคับตัวละคร และ เกมกำหนดกติกา, MMORPG","เพิ่มทักษะและความสามารถในการพิมพ์ดีด, ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกทักษะ ทางด้านการค้า, ฝึกการเข้าสังคม, ฝึกการขอโทษ และให้อภัยผู้อื่น, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว, ฝึกทักษะทางด้านภาษา",พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,ตัวท่านเอง,อื่นๆ,3,5,5,5,5,3,5
"17/7/2023, 21:32:16",ชาย,1,มี,ห้องนอน,3-4 ครั้ง,ไม่เกิน 2 ชั่วโมง,18.01-00.00 น.,เล่นทุกวัน,ไม่เกิน 2 ชั่วโมง,"เกมผจญภัย, เกมฝึกสมอง, เกมบังคับตัวละคร และ เกมกำหนดกติกา","ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกการเข้าสังคม, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว",พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,ตัวท่านเอง,เพื่อนที่รู้จักในเกมออนไลน์,5,5,5,5,5,1,5
"17/7/2023, 21:33:49",ชาย,1,มี,ห้องนอน,ใช้ทุกวัน,2-3 ชั่วโมง,18.01-00.00 น.,เล่นทุกวัน,2-3 ชั่วโมง,"เกมจำลองสถานการณ์, เกมผจญภัย, เกมบังคับตัวละคร และ เกมกำหนดกติกา",ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่,พูดคุยได้ทุกเรื่อง,ตักเตือน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,ตัวท่านเอง,เพื่อนในห้องเรียน,4,4,4,4,4,4,4
"17/7/2023, 21:35:35",หญิง,1,มี,ห้องนอน,1-2 ครั้ง,ไม่เกิน 2 ชั่วโมง,18.01-00.00 น.,ไม่เกิน 2 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,เกมผจญภัย,ฝึกทักษะทางด้านภาษา,พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนในห้องเรียน,3,1,1,2,2,2,2
"17/7/2023, 21:35:53",หญิง,1,มี,ห้องนั่งเล่น,5-6 ครั้ง,2-3 ชั่วโมง,18.01-00.00 น.,ไม่เกิน 2 ครั้ง / สัปดาห์,2-3 ชั่วโมง,"เกมสวมบทบาท, เกมแข่งรถ, เกมบังคับตัวละคร และ เกมกำหนดกติกา","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกการขอโทษ และให้อภัยผู้อื่น, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว",พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,ญาติ,อื่นๆ,4,3,1,5,3,1,5
"17/7/2023, 21:35:55",หญิง,1,มี,ห้องนั่งเล่น,1-2 ครั้ง,2-3 ชั่วโมง,18.01-00.00 น.,ไม่เกิน 2 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมกีฬา, เกมฝึกสมอง","เพิ่มทักษะและความสามารถในการพิมพ์ดีด, ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป",พูดคุยได้บางเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,ตัวท่านเอง,เพื่อนในห้องเรียน,4,3,3,5,5,1,3
"17/7/2023, 21:36:31",ชาย,1,มี,ห้องนอน,3-4 ครั้ง,2-3 ชั่วโมง,18.01-00.00 น.,2-3 ครั้ง / สัปดาห์,2-3 ชั่วโมง,"เกมสวมบทบาท, เกมแข่งรถ, เกมจำลองสถานการณ์, เกมบังคับตัวละคร และ เกมกำหนดกติกา","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการเข้าสังคม, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว",พูดคุยได้บางเรื่อง,ตักเตือน,ไม่มีผลใดเกิดขึ้น,เพื่อน,เพื่อนในห้องเรียน,4,2,3,5,3,1,3
"17/7/2023, 21:37:11",หญิง,1,มี,ห้องนั่งเล่น,1-2 ครั้ง,ไม่เกิน 2 ชั่วโมง,18.01-00.00 น.,ไม่เกิน 2 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมแข่งรถ, เกมฝึกสมอง",ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป,พูดคุยได้ทุกเรื่อง,ตักเตือน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนในห้องเรียน,4,1,2,4,2,1,4
"17/7/2023, 21:38:53",หญิง,1,มี,ห้องนอน,1-2 ครั้ง,2-3 ชั่วโมง,18.01-00.00 น.,ไม่เกิน 2 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,เกมจำลองสถานการณ์,"เพิ่มทักษะและความสามารถในการพิมพ์ดีด, ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกทักษะทางด้านภาษา",พูดคุยได้บางเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,เพื่อน,เพื่อนในห้องเรียน,4,2,2,5,4,2,3
"17/7/2023, 21:40:25",ชาย,1,มี,ห้องนอน,ใช้ทุกวัน,2-3 ชั่วโมง,18.01-00.00 น.,เล่นทุกวัน,2-3 ชั่วโมง,"เกมสวมบทบาท, เกมวางแผนกลยุทธ์, เกมผจญภัย, เกมฝึกสมอง","เพิ่มทักษะและความสามารถในการพิมพ์ดีด, ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป",พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,ตัวท่านเอง,เพื่อนที่รู้จักในเกมออนไลน์,2,3,3,3,3,3,3
"17/7/2023, 21:41:05",ชาย,1,มี,ห้องนั่งเล่น,5-6 ครั้ง,4-5 ชั่วโมง,18.01-00.00 น.,ไม่เกิน 2 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมวางแผนกลยุทธ์, เกมผจญภัย, เกมฝึกสมอง","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกทักษะ ทางด้านการค้า, การผจญภัย ฝึกการสังเกต",พูดคุยได้บางเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,เพื่อน,เพื่อนในห้องเรียน,3,3,3,4,4,4,4
"17/7/2023, 21:41:59",หญิง,1,มี,ห้องนอน,1-2 ครั้ง,4-5 ชั่วโมง,18.01-00.00 น.,2-3 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมสวมบทบาท, เกมแข่งรถ, เกมจำลองสถานการณ์, เกมฝึกสมอง","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกทักษะ ทางด้านการค้า, ฝึกการเข้าสังคม, ฝึกทักษะทางด้านภาษา",พูดคุยได้บางเรื่อง,ไม่มีปัญหา,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนที่รู้จักในเกมออนไลน์,3,4,4,3,4,3,4
"17/7/2023, 21:42:10",หญิง,1,มี,ห้องนั่งเล่น,ใช้ทุกวัน,2-3 ชั่วโมง,18.01-00.00 น.,ไม่เล่น,ไม่เล่น,ไม่เล่น,ฝึกทักษะทางด้านภาษา,พูดคุยได้บางเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,ตัวท่านเอง,เพื่อนที่รู้จักในเกมออนไลน์,1,3,3,5,5,1,5
"17/7/2023, 21:42:17",หญิง,1,มี,ห้องนอน,3-4 ครั้ง,2-3 ชั่วโมง,18.01-00.00 น.,2-3 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมสวมบทบาท, เกมวางแผนกลยุทธ์, เกมจำลองสถานการณ์, เกมฝึกสมอง","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว, ฝึกทักษะทางด้านภาษา",พูดคุยได้บางเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,เพื่อน,เพื่อนในห้องเรียน,3,2,3,4,3,1,2
"17/7/2023, 21:42:35",หญิง,1,มี,ห้องนอน,1-2 ครั้ง,4-5 ชั่วโมง,18.01-00.00 น.,ไม่เกิน 2 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมสวมบทบาท, เกมจำลองสถานการณ์, เกมฝึกสมอง","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่",พูดคุยได้บางเรื่อง,ตักเตือน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนในห้องเรียน,4,4,4,4,4,4,4
"17/7/2023, 21:42:43",ชาย,1,มี,ห้องนั่งเล่น,1-2 ครั้ง,ไม่เกิน 2 ชั่วโมง,12.01-18.00 น.,เล่นทุกวัน,2-3 ชั่วโมง,"เกมสวมบทบาท, เกมผจญภัย, MMORPG","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกการเข้าสังคม, ฝึกทักษะทางด้านภาษา",พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,ตัวท่านเอง,อื่นๆ,5,3,3,5,4,1,3
"17/7/2023, 21:42:46",หญิง,1,มี,ห้องนั่งเล่น,1-2 ครั้ง,2-3 ชั่วโมง,18.01-00.00 น.,เล่นทุกวัน,ไม่เกิน 2 ชั่วโมง,เกมสวมบทบาท,ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่,พูดคุยได้บางเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,ตัวท่านเอง,เพื่อนในห้องเรียน,3,3,4,3,4,3,4
"17/7/2023, 21:43:17",ชาย,1,มี,ห้องนั่งเล่น,ใช้ทุกวัน,6 ชั่วโมงขึ้นไป,18.01-00.00 น.,เล่นทุกวัน,5 ชั่วโมงขึ้นไป,"เกมสวมบทบาท, เกมวางแผนกลยุทธ์, เกมบังคับตัวละคร และ เกมกำหนดกติกา, MMORPG","เพิ่มทักษะและความสามารถในการพิมพ์ดีด, ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกทักษะ ทางด้านการค้า, ฝึกการเข้าสังคม, ฝึกการขอโทษ และให้อภัยผู้อื่น, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว, ฝึกทักษะทางด้านภาษา",พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนในห้องเรียน,3,4,4,5,4,2,5
"17/7/2023, 21:43:31",หญิง,1,มี,ห้องนอน,3-4 ครั้ง,2-3 ชั่วโมง,00.01-06.00 น.,2-3 ครั้ง / สัปดาห์,2-3 ชั่วโมง,"เกมจำลองสถานการณ์, เกมฝึกสมอง, เกมบังคับตัวละคร และ เกมกำหนดกติกา, MMORPG","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่",พูดคุยได้บางเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,เพื่อน,เพื่อนในห้องเรียน,4,1,1,5,3,2,4
"17/7/2023, 21:43:45",หญิง,1,มี,ห้องนอน,ใช้ทุกวัน,2-3 ชั่วโมง,18.01-00.00 น.,2-3 ครั้ง / สัปดาห์,2-3 ชั่วโมง,"เกมกีฬา, เกมแข่งรถ, เกมผจญภัย, เกมบังคับตัวละคร และ เกมกำหนดกติกา","เพิ่มทักษะและความสามารถในการพิมพ์ดีด, ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่",พูดคุยได้บางเรื่อง,ตักเตือน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนที่รู้จักในเกมออนไลน์,3,2,2,3,3,1,3
"17/7/2023, 21:44:13",ชาย,1,มี,ห้องนอน,ใช้ทุกวัน,6 ชั่วโมงขึ้นไป,18.01-00.00 น.,เล่นทุกวัน,5 ชั่วโมงขึ้นไป,"เกมสวมบทบาท, เกมวางแผนกลยุทธ์, เกมจำลองสถานการณ์, เกมผจญภัย, เกมฝึกสมอง, เกมบังคับตัวละคร และ เกมกำหนดกติกา","เพิ่มทักษะและความสามารถในการพิมพ์ดีด, ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกทักษะ ทางด้านการค้า, ฝึกการเข้าสังคม, ฝึกการขอโทษ และให้อภัยผู้อื่น, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว, ฝึกทักษะทางด้านภาษา",พูดคุยได้ทุกเรื่อง,ตักเตือน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,ตัวท่านเอง,เพื่อนในห้องเรียน,5,5,5,5,5,5,5
"17/7/2023, 21:44:36",ชาย,1,มี,ห้องนอน,ใช้ทุกวัน,4-5 ชั่วโมง,18.01-00.00 น.,2-3 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมกีฬา, เกมฝึกสมอง, เกมบังคับตัวละคร และ เกมกำหนดกติกา","เพิ่มทักษะและความสามารถในการพิมพ์ดีด, ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกทักษะ ทางด้านการค้า, ฝึกการเข้าสังคม, ฝึกการขอโทษ และให้อภัยผู้อื่น, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว, ฝึกทักษะทางด้านภาษา",พูดคุยได้บางเรื่อง,ตักเตือน,ไม่มีผลใดเกิดขึ้น,ตัวท่านเอง,เพื่อนในห้องเรียน,3,2,3,3,3,1,5
"17/7/2023, 21:44:41",ชาย,1,มี,ห้องนอน,ใช้ทุกวัน,2-3 ชั่วโมง,18.01-00.00 น.,เล่นทุกวัน,5 ชั่วโมงขึ้นไป,FPS,"ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกทักษะทางด้านภาษา",พูดคุยได้ทุกเรื่อง,ตักเตือน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,ตัวท่านเอง,เพื่อนในห้องเรียน,3,4,3,4,4,2,3
"17/7/2023, 21:44:46",ชาย,1,มี,ห้องนอน,ใช้ทุกวัน,4-5 ชั่วโมง,12.01-18.00 น.,เล่นทุกวัน,2-3 ชั่วโมง,MMORPG,"ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกการเข้าสังคม, ฝึกทักษะทางด้านภาษา",พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,ตัวท่านเอง,เพื่อนที่รู้จักในเกมออนไลน์,4,4,4,3,3,3,4
"17/7/2023, 21:45:22",หญิง,1,ไม่มี,ห้องนั่งเล่น,1-2 ครั้ง,ไม่เกิน 2 ชั่วโมง,18.01-00.00 น.,2-3 ครั้ง / สัปดาห์,2-3 ชั่วโมง,"เกมวางแผนกลยุทธ์, เกมแข่งรถ, เกมผจญภัย, เกมฝึกสมอง","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว",พูดคุยได้ทุกเรื่อง,ตักเตือน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนในห้องเรียน,2,3,3,5,5,2,5
"17/7/2023, 21:46:06",หญิง,1,มี,ห้องนอน,3-4 ครั้ง,2-3 ชั่วโมง,18.01-00.00 น.,ไม่เกิน 2 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมแข่งรถ, เกมผจญภัย, เกมฝึกสมอง","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่",พูดคุยได้บางเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,พี่,เพื่อนที่รู้จักในเกมออนไลน์,4,4,3,4,4,3,5
"17/7/2023, 21:46:17",หญิง,1,มี,ห้องนั่งเล่น,1-2 ครั้ง,ไม่เกิน 2 ชั่วโมง,12.01-18.00 น.,4-6 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมวางแผนกลยุทธ์, เกมจำลองสถานการณ์, เกมฝึกสมอง, เกมบังคับตัวละคร และ เกมกำหนดกติกา","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกทักษะ ทางด้านการค้า",พูดคุยได้บางเรื่อง,ตักเตือน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,ตัวท่านเอง,เพื่อนในห้องเรียน,4,3,4,3,3,3,3
"17/7/2023, 21:48:09",หญิง,1,มี,ห้องนอน,1-2 ครั้ง,4-5 ชั่วโมง,18.01-00.00 น.,ไม่เกิน 2 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,MMORPG,ฝึกการเข้าสังคม,พูดคุยได้บางเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,เพื่อน,เพื่อนในห้องเรียน,3,3,3,3,3,3,3
"17/7/2023, 21:50:00",ชาย,2,มี,ห้องนั่งเล่น,5-6 ครั้ง,2-3 ชั่วโมง,18.01-00.00 น.,เล่นทุกวัน,2-3 ชั่วโมง,เกมวางแผนกลยุทธ์,ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่,พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,ตัวท่านเอง,เพื่อนในห้องเรียน,3,3,3,3,3,3,3
